h_values,a_values,c_values,global_node_eccentricity,within_community_eccentricity,community_eccentricity,community_size
0.1,0.03,0.03,4.042778035019298,0.5289313449653865,3.5138466900539114,62
0.01,0.3,0.3,0.5063494405424379,0.0835241873906345,0.42282525315180347,40
0.3,0.1,0.01,0.5941591787198596,0.2747520615217689,0.8689112402416285,94
0.3,0.3,0.3,3.196805365195503,0.3170413248584083,3.5138466900539114,62
0.1,0.3,0.03,4.571634506383025,0.18824351848340903,4.383390987899616,51
0.01,0.3,0.1,4.239106656199754,0.1442843316998621,4.383390987899616,51
0.01,0.01,0.01,1.0845685253889723,0.21565728514734384,0.8689112402416285,94
0.3,0.03,0.3,4.8923859007792405,0.5089949128796247,4.383390987899616,51
0.3,0.03,0.1,0.6596993992808124,0.14060860090533078,0.8003080001861432,73
0.01,0.1,0.03,5.308355673297975,0.055293921729848705,5.363649595027824,23
0.1,0.3,0.3,1.494517188516472,0.06055630611204199,1.43396088240443,67
0.3,0.1,0.3,1.7370469587123356,0.2149625777089328,1.9520095364212684,102
0.1,0.01,0.1,7.295617216097937,0.014770220892065034,7.280846995205872,2
0.1,0.01,0.01,0.5820801411664096,0.21822785901973363,0.8003080001861432,73
0.01,0.3,0.1,4.280381568790099,0.103009419109517,4.383390987899616,51
0.03,0.3,0.01,0.026726114054641828,0.291474319401137,0.2647482053464952,54
0.3,0.03,0.03,0.18070245945460245,0.10427031674953374,0.07643214270506869,50
0.01,0.1,0.03,1.505201498296037,0.07124061589160702,1.43396088240443,67
0.1,0.1,0.03,1.600719001711168,0.3512905347101003,1.9520095364212684,102
0.01,0.3,0.3,1.8498081926715877,0.1022013437496807,1.9520095364212684,102
0.01,0.3,0.01,4.1475286262308035,0.6336819361768917,3.5138466900539114,62
0.3,0.1,0.1,1.4076242333935916,0.013424789005483717,1.3941994443881078,39
0.3,0.3,0.01,2.3858927736733855,0.2064313221035099,2.5923240957768954,69
0.01,0.03,0.3,4.361278646209809,0.056511860511098355,4.417790506720907,20
0.03,0.01,0.03,2.166404646208028,0.21439510978675957,1.9520095364212684,102
0.01,0.01,0.01,4.148044125694208,0.23534686220540735,4.383390987899616,51
0.3,0.3,0.3,2.199020190949881,0.24701065452861282,1.9520095364212684,102
0.03,0.1,0.1,0.8314093705047183,0.031101370318575072,0.8003080001861432,73
0.1,0.1,0.03,2.9287978303465314,0.2615402892960166,2.667257541050515,61
0.01,0.01,0.03,2.310567798587694,0.28175629718920137,2.5923240957768954,69
0.1,0.03,0.1,0.28600745637313185,0.021259251026636672,0.2647482053464952,54
0.3,0.1,0.3,1.7227931410703783,0.2888322586659482,1.43396088240443,67
0.1,0.1,0.01,0.007320992911979574,0.2574272124345156,0.2647482053464952,54
0.3,0.3,0.1,0.9874928375467878,0.11858159730515938,0.8689112402416285,94
0.1,0.03,0.03,3.5006676936894756,0.13220742450592793,3.3684602691835477,64
0.1,0.01,0.3,4.2011977664809566,0.21659274023995057,4.417790506720907,20
0.03,0.01,0.01,0.9684832117911886,0.16817521160504534,0.8003080001861432,73
0.1,0.03,0.1,0.6623367275633147,0.1379712726228285,0.8003080001861432,73
0.3,0.01,0.1,1.3768415626922206,0.017357881695887256,1.3941994443881078,39
0.3,0.1,0.03,0.14231557268390227,0.06588342997883358,0.07643214270506869,50
0.03,0.3,0.3,5.021301094821901,0.6021955647454869,5.623496659567388,43
0.3,0.1,0.03,1.718438060149067,0.23211710009265918,1.9505551602417261,52
0.03,0.3,0.3,3.2491881374258917,0.11927213175765594,3.3684602691835477,64
0.01,0.1,0.01,0.04920185270070572,0.1256339954057744,0.07643214270506869,50
0.03,0.01,0.3,6.369803507703471,0.7463068481360837,5.623496659567388,43
0.01,0.3,0.01,1.4036649809181845,0.030295901486245613,1.43396088240443,67
0.3,0.3,0.03,6.93645565105843,0.0,6.93645565105843,1
0.3,0.03,0.03,0.38551934901340595,0.12077114366691077,0.2647482053464952,54
